"","baker.season.episode","X","baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season","result","status"
"392","Kate_7_3",390,"Kate","Cobbled Loaf","8th","The Corn Maiden",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ",7,"","Favorite"
"393","Kate_7_4",400,"Kate","Christmas Dinner Compromise","7th","Hot Cross Bunny Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ",7,"OUT",""
"394","Kate_8_1",442,"Kate","Moroccan Strawberry and Rose Cake","1st","'Chocolate Terrarium' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"",""
"395","Kate_8_10",510,"Kate","Roman Spelt, Coconut Kala Chana and Flower Breads","3rd","White Chocolate, Yuzu and Lychee Entremet",10,"12 Small Loaves ","10 Ginger Biscuits ","Large Entremet ",8,"Runner-up",""
"396","Kate_8_2",454,"Kate","Coconut Seashells for a Titanic Afternoon Tea","8th","'Jungle' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"","Least Favorite"
"397","Kate_8_3",464,"Kate","Blueberry Buns","10th","'Kraken' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ",8,"",""
"398","Kate_8_4",473,"Kate","Salted Bay Caramel Millionaire Shortbreads","6th","Sticky Toffee Apple Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ",8,"SB",""
"399","Kate_8_5",482,"Kate","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","8th","'My Great Great Nan's' Raspberry Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ",8,"",""
"400","Kate_8_6",489,"Kate","'Vegetarian Pie Faces' Decorative Pies","5th","Potato Curry Pie with Mango & Chilli Glaze",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ",8,"",""
"401","Kate_8_7",495,"Kate","'Happy Hour' Cocktail Cannoli","6th","'Flavour Fusion' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ",8,"","Least Favorite"
"402","Kate_8_8",501,"Kate","Burrito Bedfordshire Clangers","2nd","'Liver Building Turret' Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ",8,"","Least Favorite"
"403","Kate_8_9",506,"Kate","Bellini and Valencian Orange Choux Buns","4th","'Rainbow' Meringue Centrepiece",9,"24 Choux Buns ","9 Les Misérables Slices ","Meringue Centrepiece ",8,"","Favorite"
"404","Keith_2_1",7,"Keith","Earl Grey Cupcakes","12th","Chocolate and Sour Cream Cake",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"OUT",""
"405","Kim-Joy_9_1",519,"Kim-Joy","Orange Blossom York Biscuits","10th","""Me at Miyajima Shrine""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"406","Kim-Joy_9_10",586,"Kim-Joy","Amaretto Diplomat Filled Doughnuts & Lemon Ring Doughnuts","1st","Lost City of Atlantis Dessert Landscape",10,"12 Iced Doughnuts ","6 Campfire Pita Breads ","Landscape Dessert ",9,"Runner-up",""
"407","Kim-Joy_9_2",530,"Kim-Joy","Pandan Chiffon Cake with Palm Sugar Cream","4th","Yuzu and Raspberry Genoise Cat Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"",""
"408","Kim-Joy_9_3",541,"Kim-Joy","Pistachio and Cardamom Tangzhong Chelsea Buns","10th","Orange, Cinnamon and Cranberry 'Kit-ovai'",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"",""
"409","Kim-Joy_9_4",550,"Kim-Joy","'Sweet Dreams' Roulade","6th","Melting Chocolate Galaxy",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"",""
"410","Kim-Joy_9_5",559,"Kim-Joy","Stem Ginger Cake with Poached Pears","4th","Christmas Spiced Ice Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"SB",""
"411","Kim-Joy_9_6",567,"Kim-Joy","Flavours of India","5th","Silke the Vegetarian Mermaid",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ",9,"",""
"412","Kim-Joy_9_7",573,"Kim-Joy","Broccoli & Tomato Quiches and Mascarpone Squirrel Tartlets","6th","Lavender & Lemon Fox Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ",9,"SB",""
"413","Kim-Joy_9_8",578,"Kim-Joy","Bumblebee Eggs & Fish Smørrebrød","2nd","Off to the Opera Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ",9,"","Least Favorite"
"414","Kim-Joy_9_9",583,"Kim-Joy","Ginger and Lemon Madeleines
Orange Bunny Madeleines","2nd","Flavourite Flavours Window Display",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ",9,"","Favorite"
"415","Kimberley_4_1",144,"Kimberley","Blood Orange Cake","10th","Chocolate, Raspberry & Basil Layer Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"416","Kimberley_4_10",213,"Kimberley","Chicken and Pig Pie","1st","Languages of Love Wedding Cake",10,"Picnic pie ","12 Pretzel   6 Savory  6 Sweet ","Three Tiered Wedding Cake ",4,"Runner-up",""
"417","Kimberley_4_2",157,"Kimberley","Nigella Seed and Parmesan Breadsticks","1st","Peace Bread",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"","Favorite"
"418","Kimberley_4_3",169,"Kimberley","Peach, Almond and Ginger Trifle","6th","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"",""
"419","Kimberley_4_4",179,"Kimberley","Pecan and Rosemary Caramel Apple Pie","4th","Chicken, Bacon and Butternut Squash Pie",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"SB",""
"420","Kimberley_4_5",187,"Kimberley","Cherry and Almond Bakewell Florentine Slice","7th","Black and White Viennese Biscuit Stack",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"","Least Favorite"
"421","Kimberley_4_6",195,"Kimberley","Chai Spiced Ginger and Date Tea Loaf","3rd","Double Chocolate Brioches with Kumquat MarmaladeAlmond and Apricot Danish Kanelsnurrer",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"",""
"422","Kimberley_4_7",201,"Kimberley","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","4th","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",7,"Suet Pudding ","8 Religieuses ","36 sweet puff pastries  12 Filled  12 Iced  12 of Their Own Choice ",4,"",""
"423","Kimberley_4_8",206,"Kimberley","Wild Garlic Pesto and Parma Ham Spelt Loaf","2nd","Butternut Squash and Spice Cake Toadstool House",8,"Wheat Free Loaf ","Hazelnut Dacquoise ","Dairy Free Vegetable Cake ",4,"","Favorite"
"424","Kimberley_4_9",210,"Kimberley","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","1st","Passion Fruit and Lime Opera Cake",9,"36 Canapés  12 Choux  12 Shortcrust Rough Puff  12 Any of their Choice ","Charlotte Royale ","Opera Cake ",4,"SB",""
"425","Laura_11_1",671,"Laura","'Celebration of Summer' Battenberg Cake","6th","Lemon & Elderflower Freddie",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"",""
"426","Laura_11_10",742,"Laura","Yuzu Custard Slice","3rd","Rainbow Dessert Tower",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ",11,"Runner-up",""
"427","Laura_11_2",683,"Laura","Salted Caramel Florentines","7th","Celebration Afternoon Tea",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"",""
"428","Laura_11_3",694,"Laura","Nana Peg's Nicely Spiced and Cherrylicious Soda Bread","6th","Showstopping Musical Theatre Inspired Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"",""
"429","Laura_11_4",704,"Laura","Salted Caramel Brownie S'mores","2nd","Chocolate Heaven Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"",""
"430","Laura_11_5",713,"Laura","Proper Tasty Pasties","6th","Kent Garden Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"SB",""
"431","Laura_11_6",721,"Laura","Piggy Pork Belly Buns","7th","Upside Down Pineapple Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"","Least Favorite"
"432","Laura_11_7",728,"Laura","Pea & Pizza Quiches","4th","'Death by Chocolate'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ",11,"","Least Favorite"
"433","Laura_11_8",734,"Laura","Passion Fruit Cheesecakes","1st","'Flower Power' Koi Jelly Art Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ",11,"","Favorite"
"434","Laura_11_9",739,"Laura","Poached Pineapple, Kiwi and Passion Fruit Rum Babas","4th","Black Forest Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ",11,"","Least Favorite"
"435","Lee_7_1",368,"Lee","St. Clements Orange and Lemon Drizzle Cake","11th","Strawberry Surprise Mirror Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"OUT",""
"436","Liam_8_1",443,"Liam","Apple and Almond Crumble Maple Loaf","8th","'Stackin' Sunday' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"",""
"437","Liam_8_2",455,"Liam","Coffee Malted Pecan Shorties","7th","'Classroom Classics' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"",""
"438","Liam_8_3",465,"Liam","Jamaican Spiced Teacakes","5th","'Kneadapolitan' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ",8,"","Least Favorite"
"439","Liam_8_4",474,"Liam","Salted Peanut Butter Millionaire Shortbreads","3rd","White Layered Ginger Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ",8,"","Favorite"
"440","Liam_8_5",483,"Liam","Cherries & Lemons that are 'Baked Well'","2nd","'Cheers Lads' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ",8,"","Least Favorite"
"441","Liam_8_6",490,"Liam","'Standard FC' Decorative Pies","4th","'Nan's Sunday Dinner' Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ",8,"SB",""
"442","Liam_8_7",496,"Liam","'Just Doing Me' Cannoli","2nd","'Morning Delivery' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ",8,"","Favorite"
"443","Liam_8_8",502,"Liam","'Take Out' Bedfordshire Clangers","5th","'Fort Wizardore' Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ",8,"OUT",""
"444","Linda_11_1",672,"Linda","Ambulance Battenberg Cake","12th","Lemon & Orange Bob Marley",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"","Least Favorite"
"445","Linda_11_2",684,"Linda","Flower Topped Florentines","4th","'High Tea in Amsterdam'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"",""
"446","Linda_11_3",695,"Linda","Cyflym Bara Soda Bread","1st","'Fruits of our Labour' Black Olive Bread & Tiger Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"",""
"447","Linda_11_4",705,"Linda","'Treats of Christmas Past'","1st","English Rose Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"",""
"448","Linda_11_5",714,"Linda","Spicy Indian Pasties","8th","Gypsy tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"OUT",""
"449","Lizzie_12_1",752,"Lizzie","'Zoo' Mini Rolls","4th","'Nana's Peaches & Cream'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"",""
"450","Lizzie_12_2",764,"Lizzie","Fast-Food Apple Pie Brandy Snaps","6th","Paint a Truck",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"",""
"451","Lizzie_12_3",774,"Lizzie","'Final Furlong' Focaccia","2nd","Pig Banquet",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"","Favorite"
"452","Lizzie_12_4",784,"Lizzie","Easter Pavlova","2nd","Liverpool Skyline Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"",""
"453","Lizzie_12_5",793,"Lizzie","Mandelhörnchen & Cheeky Boys","3rd","Bavarian Fairy Tale",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"",""
"454","Lizzie_12_6",800,"Lizzie","Caramel & Floral Chouxnuts","7th","'Neptune Pie'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"",""
"455","Lizzie_12_7",806,"Lizzie","'My Tart Will Go On'","5th","'Roses Really Smell Like Caramel'",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"","Least Favorite"
"456","Lizzie_12_8",811,"Lizzie","Best Thing About Walks","3rd","Gluten-free ‘Extraordinary' Cake",8,"8 Dairy free Iced Cream Sandwiches ","8 Vegan Sausage Rolls ","Gluten free Celebration Cake ",12,"OUT",""
"457","Loriea_11_1",673,"Loriea","'Hot Summer's Day Treats' Battenberg Cake","10th","'Flavours of Jamaica' – A Tribute to Miss Lou",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"OUT",""
"458","Lottie_11_1",674,"Lottie","Rhubarb and Custard Battenberg Cake","4th","Coconut & Lime Louis Theroux",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"",""
"459","Lottie_11_2",685,"Lottie","Quarantine Florentines","8th","Viking Victuals",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"",""
"460","Lottie_11_3",696,"Lottie","Blueberry Breakfast & Summertime Soda Bread","5th","My House In Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"",""
"461","Lottie_11_4",706,"Lottie","'Have Your Cake and Eat It' Brownies","9th","Nana and Papa's Sapphire Anniversary Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"","Least Favorite"
"462","Lottie_11_5",715,"Lottie","Toad-In-The-Hole-Less Pasties","4th","Apple Tree Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"",""
"463","Lottie_11_6",722,"Lottie","Cheeseburger Steamed Buns","2nd","Into the Japanese Woods",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"SB",""
"464","Lottie_11_7",729,"Lottie","English Breakfast & Summer Salad Quiches","5th","'80's Mix Tape'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ",11,"OUT",""
"465","Louise_7_1",369,"Louise","Orange Liqueur and Lemonade Drizzle Cake","9th","White Chocolate Trifle Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"",""
"466","Louise_7_2",380,"Louise","Baa Bara Brith Biscuits","10th","Gingerbread Wedding",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"OUT",""
"467","Lucy_4_1",145,"Lucy","Timperley Early Cake","2nd","Thyme 'Wildwood' Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"468","Lucy_4_2",158,"Lucy","Grissini with Salt","12th","Roasted Tomato Bread",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"OUT",""
"469","Luis_5_1",222,"Luis","Spanish Swiss Roll","7th","Raspberry and Lemon Genoise Slices with Lemon Drizzles",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"",""
"470","Luis_5_10",285,"Luis","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","2nd","Village in Chocolate",10,"Viennoiserie ","12 Mini Victoria Sandwiches  12 Mini Tarte au Citron  12 Mini Scones ","Pièce Montée ",5,"Runner-up",""
"471","Luis_5_2",233,"Luis","Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","3rd","George Versus The Dragon",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"","Favorite"
"472","Luis_5_3",243,"Luis","Opposites Attract Rolls","2nd","Roscón de Reyes",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"SB",""
"473","Luis_5_4",252,"Luis","Pears in Puddings","2nd","Bakewell Alaska",4,"8 Self Saucing Puddings ","Tiramisu Cake ","Baked Alaska ",5,"","Favorite"
"474","Luis_5_5",259,"Luis","Tropical Manchester Tart","6th","Four Fruity Seasons Tower",5,"Custard Tart ","Mini Pear Pies ","Three Tiered Pie ",5,"",""
"475","Luis_5_6",266,"Luis","Apple and Cinnamon Kugelhopf with Honeyed Apples","3rd","The Cage on the Rocky Hill",6,"Yeast Leavened Cake ","Prinsesstårta ","Dobos Torte ",5,"","Favorite"
"476","Luis_5_7",272,"Luis","Childhood Empanadas","5th","Stars and Stripes Éclairs",7,"12 Savoury Parcels ","Kouign Amann ","24 Éclairs ",5,"",""
"477","Luis_5_8",277,"Luis","Black Forest Cherry Tree","2nd","Cocktail Doughnuts",8,"Fruit Loaf ","Povitica ","36 Doughnuts ",5,"","Favorite"
"478","Luis_5_9",282,"Luis","Indian Rose BaklavaHalwa Baklava Rolls","1st","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",9,"24 Baklava ","Schichttorte ","24 Entremets ",5,"","Favorite"
"479","Luke_9_1",520,"Luke","Yorkshire Gingernuts","8th","""What Happens In Vegas...!""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"480","Luke_9_2",531,"Luke","Lemon and Poppy Seed Traybake","7th","Raspberry and White Chocolate Collar Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"OUT",""
"481","Maggie_12_1",753,"Maggie","'Knit & Natter' Mini Rolls","1st","Ice-cream Cornet",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Favorite"
"482","Maggie_12_2",765,"Maggie","Blackcurrant Brandy Snaps","5th","Beach Playset",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"","Least Favorite"
"483","Maggie_12_3",775,"Maggie","Classic Focaccia","8th","’Things You'd Find in a Rock Pool'",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"","Least Favorite"
"484","Maggie_12_4",785,"Maggie","Traditional Pavlova","9th","Strawberry Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"OUT",""
"485","Mak_11_1",675,"Mak","East India Battenberg Cake","8th","Tribute to Bill Bryson",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"",""
"486","Mak_11_2",686,"Mak","Mango and Cumin Florentines","3rd","Indian Chai Service",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"OUT",""
"487","Manisha_3_1",66,"Manisha","Vanilla, Peach and Raspberry Upside Down Cake","6th","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"",""
"488","Manisha_3_2",78,"Manisha","Indian FlatbreadsItalian Flatbreads","6th","Chocolate Orange Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"",""
"489","Manisha_3_3",89,"Manisha","Cinnamon, Apple and Pear Tarte Tatin","10th","Rum and Tropical Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"",""
"490","Manisha_3_4",99,"Manisha","Almond, Chocolate and Cherry Torte","9th","Tiramisu Layered Meringue Dessert",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"","Least Favorite"
"491","Manisha_3_5",108,"Manisha","Lamb Wellington with Rosemary and Mint","5th","Banana Scotch Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"OUT",""
"492","Manon_9_1",521,"Manon","Hazelnut Cornish Shortbread","3rd","Matcha and White Chocolate Ganache Japanese Selfie",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"SB",""
"493","Manon_9_2",532,"Manon","Rosemary and Honey Traybake","6th","Almond Princess Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"",""
"494","Manon_9_3",542,"Manon","Apricot, Cranberry and Marzipan Chai Chelsea Buns","3rd","Fabergé Inspired Traditional Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"",""
"495","Manon_9_4",551,"Manon","Amarene and Kirsch Cherry Roulade","8th","White Chocolate Renaissance Surprise",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"",""
"496","Manon_9_5",560,"Manon","Italian Meringue Ginger Cake","5th","Art Deco Spiced Biscuit Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"",""
"497","Manon_9_6",568,"Manon","Samosas for Mum","4th","""What Has Poppy Eaten?""",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ",9,"","Least Favorite"
"498","Manon_9_7",574,"Manon","Summer & Winter Tartlets","2nd","Spiced Apple Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ",9,"",""
"499","Manon_9_8",579,"Manon","Cheese and Fruit Smørrebrød","4th","Birthday Girl Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ",9,"OUT",""
"500","Marc_11_1",676,"Marc","Bittersweet Battenberg Cake","11th","Chocolate & Vanilla Ziggy",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"","Least Favorite"
"501","Marc_11_2",687,"Marc","Ginger, Cherry and Pistachio Florentines","9th","Morning Coffee 'n' Toast",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"","Favorite"
"502","Marc_11_3",697,"Marc","Cornish Soda Breads","2nd","The Dharma Wheel Bread Sheaf",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"SB",""
"503","Marc_11_4",707,"Marc","Praline Brownies","6th","White Chocolate & Raspberry Buttercream Celebration Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"",""
"504","Marc_11_5",716,"Marc","Cornish Fish Pasties","7th","Posh Apple & Blackberry Pie",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"","Least Favorite"
"505","Marc_11_6",723,"Marc","'Hmmmm Dhal' Steamed Buns","6th","Hamish the Dog Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"","Favorite"
"506","Marc_11_7",730,"Marc","Cornish Quiches","3rd","Retro Ice Cream Parlour",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ",11,"","Favorite"
"507","Marc_11_8",735,"Marc","New York Style Vanilla & Mascarpone Cheesecakes","2nd","Apple Jelly with Chocolate and Strawberry Mousse",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ",11,"OUT",""
"508","Marie_6_1",292,"Marie","Zingy Citrus Madeira Cake","3rd","A Walk in the Black Forest",1,"Madeira Cake ","Frosted Walnut Layer Cake ","Black Forest Gâteau ",6,"SB",""
"509","Marie_6_2",304,"Marie","Biscotti Italiano","11th","Russian Box",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ",6,"OUT",""
"510","Mark_11_1",677,"Mark","Turkish Bazaar Inspired Battenberg Cake","7th","'Origin-ger of the Species' by Charles Darwin",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"",""
"511","Mark_11_2",688,"Mark","Mango Lassi Florentines","2nd","Ethiopian Coffee Ceremony",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"","Favorite"
"512","Mark_11_3",698,"Mark","Sausage & Stout Soda Bread","3rd","Orchard County Bread with Sweet Apple and Savoury Wild Garlic",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"",""
"513","Mark_11_4",708,"Mark","'Gimmie S'mores' Brownies","3rd","'A Bake Off Birthday'",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"SB",""
"514","Mark_11_5",717,"Mark","Aloo Gobi Pasties","3rd","Mes-SAGE in a Bottle",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"","Least Favorite"
"515","Mark_11_6",724,"Mark","Burger Buns","5th","'Avo Baby'",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"OUT",""
"516","Mark_4_1",146,"Mark","Lemon and Poppy Seed Cake","5th","Chocolate Monster",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"517","Mark_4_2",159,"Mark","Rosemary & Raisin Breadsticks","6th","Sage and Garlic Plait",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"","Least Favorite"
"518","Mark_4_3",170,"Mark","Ginger, Mango and Passion Fruit Trifle","11th","Rose and Pistachio MacaronsChocolate and Raspberry Bites",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"OUT",""
"519","Martha_5_1",223,"Martha","Tiramisu Swiss Roll","2nd","Mini Lemon and Thyme Drizzle Cakes",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"","Favorite"
"520","Martha_5_2",234,"Martha","Caramelised Onion and Goat's Cheese Sandwich Biscuits","5th","Ski Village Scene",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
